,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
0,Austria,AT,2005,14.5,23.3,6.7,12.1,33710,64.2,8225278,0.006812,90,80,44.4,22.6,70,73.6,87,80.2,70,70,8.7,26.3
1,Belgium,BE,2005,13.7,23.7,9.9,11.1,32200,92,10478617,0.005501,90,76,42.1,22,70,68,81.8,80.2,90,70,7.4,28
2,Bulgaria,BG,2005,9.7,11.6,3.8,15.9,4190,27.5,7658972,-0.00753,30,39,80.3,53.4,55,80.3,83.1,82,50,70,4,25
3,Croatia,HR,2005,13.7,1.4,1.7,18,10200,38.2,4311674,0.000784,30,37,59.3,26.2,55,44.3,81.4,65.4,50,70,3.4,30
4,Cyprus,CY,2005,8.3,11.3,9.1,14.6,23050,69.4,738541,0.014407,90,61,79,57.4,85,70,83,73.6,50,70,5.7,28.7
5,Czechia,CZ,2005,15.4,18.3,6.6,10.8,13650,28.4,10234092,0.002658,70,39,68.2,15.1,70,57.7,88.9,76.8,70,90,4.3,26
6,Denmark,DK,2005,1.1,24.8,10,16.2,44400,37.8,5415978,0.002737,90,95,33.9,8.3,100,99.9,85.6,80.2,70,90,9.5,23.9
7,Estonia,EE,2005,10.3,15.3,2.6,12.8,11110,4.6,1354775,-0.005723,70,55,82.9,61.6,85,47.4,85.5,84.8,90,90,6.4,34.1
8,Finland,FI,2005,12,22.9,7.4,13.6,34250,41.7,5246100,0.003423,90,97,58,22.3,85,49.9,88,80.2,70,70,9.6,26
9,France,FR,2005,16.4,22.5,10,11.4,30320,66.4,62958328,0.007454,70,69,44.8,10.9,70,54.3,86,80.2,70,50,7.5,27.7
10,Germany,DE,2005,16.4,22.2,5.9,10.2,29730,68.6,82469421,-0.000568,90,77,58.4,28.6,70,48.7,88.1,80.2,90,50,8.2,26.1
11,Greece,EL,2005,11.3,12.9,8,11.3,20740,100,10987316,0.002933,50,43,58,54.4,70,56.1,78.1,80.2,50,50,4.3,33.2
12,Hungary,HU,2005,12.5,18.3,4.6,14.5,9930,61.7,10087064,-0.001988,70,48,67.9,25.6,70,68.2,75.6,70,70,70,5,27.6
13,Ireland,IE,2005,4.7,10.3,8.8,11.4,39480,27.2,4133839,0.021678,90,75,72.6,64.5,85,78.2,82.5,80.2,90,90,7.4,31.9
14,Italy,IT,2005,12.3,20.3,9.6,10.2,28090,105.7,57969482,0.004914,70,53,49.6,27.4,70,74.5,84.7,80.2,70,70,5,32.7
15,Latvia,LV,2005,8.4,14.1,3,12,8180,12.5,2238799,-0.010806,50,38,83.6,52.7,70,63.5,84.8,80,70,70,4.2,36.2
16,Lithuania,LT,2005,8.1,14.3,3.3,10.7,7960,18.3,3322525,-0.016284,50,47,82.8,65.1,70,55.8,90.1,84,70,90,4.8,36.3
17,Luxembourg,LU,2005,10.4,15.1,11.5,10.9,76460,6.1,465152,0.015281,90,87,64.3,39,85,51.4,85.9,80.2,90,90,8.5,26.5
18,Malta,MT,2005,6.2,11.2,7.7,14,14510,68,403825,0.006365,90,50,62.2,40.3,85,60,85.7,75.8,50,90,6.6,27
19,Netherlands,NL,2005,12.9,18.7,7,12,36570,51.8,16319871,0.002337,90,89,45.7,28,70,61.5,84.8,80.2,90,90,8.6,26.9
20,Poland,PL,2005,12.3,12.8,7.9,12.4,7510,47.1,38161313,-0.000496,50,36,68.3,30.3,70,60,82.3,79.2,50,70,3.4,35.6
21,Portugal,PT,2005,8.4,11.9,6.6,12.9,16600,67.7,10503330,0.001855,70,66,61.7,32,70,41.2,83.2,80.2,70,50,6.5,38.1
22,Romania,RO,2005,9.6,11,4.5,12.3,5120,15.8,21319673,-0.00618,30,28,70.1,68.9,55,55.5,62.6,70.4,30,50,3,31
23,Slovakia,SK,2005,12.6,12.9,6.1,12.3,9960,34.2,5387285,0.000875,50,37,81.9,42.4,70,75.7,78,72.8,70,90,4.3,26.2
24,Slovenia,SI,2005,14.2,20.4,4.9,13.4,16570,26.7,2001114,0.002056,50,59,55.6,45.3,85,40.3,79.1,81.8,50,50,6.1,23.8
25,Spain,ES,2005,12.1,16.2,10.1,10,23420,43.2,43662613,0.018573,70,69,55.4,53,70,48.8,83.9,80.2,70,70,7,32.2
26,Sweden,SE,2005,10.3,29.1,7.2,12.7,37990,50.4,9029567,0.003999,90,93,33.7,0,70,65.2,86,80.2,90,90,9.2,23.4
27,Austria,AT,2006,13.8,22.5,6.7,11.4,34700,62.3,8267948,0.005174,90,84,50.2,23.2,82,72.7,86.4,82.4,70,70,8.6,25.3
28,Belgium,BE,2006,13.3,22.7,9.9,10.8,32800,87.9,10547956,0.006595,90,75,42.8,26.8,90.7,68.4,81.5,82.4,90,70,7.3,27.8
29,Bulgaria,BG,2006,8,9.7,3.9,16.1,4500,21.6,7601022,-0.007595,30,41,83.2,49.8,70.5,79.8,80.7,65.8,70,70,4,31.2
30,Croatia,HR,2006,11.5,14.3,4.8,17.8,10700,35.4,4313016,0.000311,30,35,69.6,23.2,54.5,44.6,81.2,78.4,50,70,3.4,28
31,Cyprus,CY,2006,7.1,10,8.7,13.4,23740,64.7,750964,0.016681,90,54,79.1,48.3,70,70,84.4,82.4,70,70,5.6,28.8
32,Czechia,CZ,2006,14.9,17.5,6.5,10,14530,28.3,10266646,0.003176,70,42,68.8,36.8,57.8,60.3,85.9,82.4,70,90,4.8,25.3
33,Denmark,DK,2006,0.1,22.7,8.1,15.6,45990,32.1,5434567,0.003426,90,95,35.5,9.3,94.6,99.9,87.2,82.4,70,90,9.5,23.7
34,Estonia,EE,2006,10,15,2.6,12.8,12260,4.4,1346810,-0.005897,70,60,83.8,57.4,81.9,49.3,84.7,82.4,90,90,6.7,33.1
35,Finland,FI,2006,11.7,21.3,7.6,13.2,35490,39.6,5266266,0.003837,90,97,61.9,52.5,95.4,47.4,90.8,82.4,70,70,9.6,25.9
36,France,FR,2006,16,21.8,10.6,10.9,30850,63.7,63393406,0.006887,70,71,46.6,11.9,88,56.5,85.6,82.4,50,50,7.4,27.3
37,Germany,DE,2006,15.4,21.1,6.3,10.2,30930,68,82376447,-0.001128,90,82,60.8,31.7,89.1,44.4,87.1,82.4,90,50,8,26.8
38,Greece,EL,2006,10.3,13.1,6.9,11.1,21840,106.1,11020366,0.003003,50,43,61,53.9,73.2,58.6,78.7,82.4,50,50,4.4,34.3
39,Hungary,HU,2006,12.2,17.8,5.4,13.4,10340,65.9,10071374,-0.001557,70,48,68.2,27.1,70.8,69.5,74.3,82.4,70,70,5.2,33.3
40,Ireland,IE,2006,3.9,10.4,9.9,11.1,40390,24.6,4232929,0.023688,90,75,72,64.7,93.7,79.6,84.4,82.4,90,90,7.4,31.9
41,Italy,IT,2006,11.6,19.5,9.9,10.5,28480,106.3,58143980,0.003006,50,48,52,29.1,78.4,74.6,85.2,82.4,70,50,4.9,32.1
42,Latvia,LV,2006,8.1,13.5,3.6,11.6,9240,10.7,2218351,-0.009175,50,40,83.5,51,75,66.6,80.8,82.4,70,70,4.7,38.9
43,Lithuania,LT,2006,9.1,15,4.3,10.8,8690,17.9,3269903,-0.015965,50,46,82.9,63.9,85.2,57.1,90.4,82.4,70,90,4.8,35
44,Luxembourg,LU,2006,10,14.5,11.3,10,79190,6.7,472641,0.015972,90,84,65.7,36.8,76.9,51.4,85.7,82.4,90,90,8.6,27.8
45,Malta,MT,2006,5.8,11,7.7,13.3,14820,62.5,405311,0.003673,90,68,62.2,35.4,70,60,85,82.4,50,70,6.4,27.1
46,Netherlands,NL,2006,13,18.5,6.1,11.4,37780,47.4,16346096,0.001606,90,87,48,29.1,87.5,62.9,86.6,82.4,90,90,8.7,26.4
47,Poland,PL,2006,12.1,12.9,8,12.7,7980,47.7,38132277,-0.000761,50,35,68.7,39.5,56.5,61.2,79.6,82.4,50,70,3.7,33.3
48,Portugal,PT,2006,8.1,12.1,6.4,12.8,16840,69.4,10522288,0.001803,70,63,64,29.7,73.3,42.2,84.4,82.4,70,50,6.6,37.7
49,Romania,RO,2006,9.8,11.6,5,12.1,5560,12.4,21193749,-0.005924,30,29,87.5,68.9,74.6,57.5,66.6,68.4,50,50,3.1,33
50,Slovakia,SK,2006,11.6,14.1,4.4,10.8,10800,30.5,5391184,0.000723,50,40,89.5,52.5,69.3,76.7,77.8,82.4,70,90,4.7,28.1
51,Slovenia,SI,2006,14.8,20.1,5.7,12.9,17460,26.4,2008516,0.003692,50,60,64,44.3,75.1,41.6,81.7,82.4,70,50,6.4,23.7
52,Spain,ES,2006,11.8,16,10.7,9.3,24000,39.7,44360521,0.015858,70,71,55.3,50.5,78.7,50,83.9,82.4,70,70,6.8,31.9
53,Sweden,SE,2006,2.7,27,7.1,12.1,39540,45.3,9080506,0.005626,90,92,33.2,24.4,96.1,65.1,87.7,82.4,90,70,9.2,24
54,Austria,AT,2007,13.5,22.3,7.1,11.3,35870,60.2,8295189,0.003289,90,87,50.3,24.7,81.7,70.1,86,86.6,70,70,8.1,26.2
55,Belgium,BE,2007,13.4,22.8,9.6,10.8,33760,84,10625701,0.007344,80,74,44.1,26.5,92.6,70.8,80.5,86.6,90,80,7.1,26.3
56,Bulgaria,BG,2007,7.7,9.8,6.1,15.7,4820,17.2,7545338,-0.007353,30,40,82.4,57.8,70.3,79.8,75.8,70.8,60,60,4.1,35.3
57,Croatia,HR,2007,11.5,14.6,5.1,17.4,11250,32.9,4312751,-6.10E-05,30,34,69.9,24.4,54.2,44.5,79.3,87.8,50,60,4.1,29
58,Cyprus,CY,2007,6.8,9.8,12.3,13.9,24420,58.8,767128,0.021296,90,57,79.4,44.8,70,70,84.7,81.6,70,70,5.3,29.8
59,Czechia,CZ,2007,15,17.7,6.6,10.2,15250,27.9,10322689,0.005444,70,43,69.9,47.1,61.1,59.7,86.3,86.6,70,80,5.2,25.3
60,Denmark,DK,2007,0.1,23.2,7.2,16,46210,27.1,5457415,0.004195,90,95,34.2,12.8,94.8,99.9,86.8,86.6,80,90,9.4,25.2
61,Estonia,EE,2007,10.3,15.5,2.7,12.7,13270,3.7,1340680,-0.004562,90,64,84.5,61.8,79.9,49.7,83,86.6,90,90,6.5,33.4
62,Finland,FI,2007,11.4,20.5,8.3,12.6,37210,35.2,5288719,0.004254,90,96,63.1,23.5,95.3,45.6,89.9,86.6,70,80,9.4,26.2
63,France,FR,2007,15.8,21.5,10.5,10.7,31400,64.2,63781275,0.0061,70,75,46.3,13.5,87.2,56.1,81,81.6,50,60,7.3,26.6
64,Germany,DE,2007,14.7,20.6,6.6,10.6,31920,65.2,82266373,-0.001337,90,82,61.4,33.7,88.9,44.2,81.5,86.6,90,50,7.8,30.4
65,Greece,EL,2007,10.7,13.7,6.8,11.3,22500,107.4,11048466,0.002547,50,43,62.4,53.4,69.7,58,78.4,81.6,50,40,4.6,34.3
66,Hungary,HU,2007,13.4,19.4,6.1,13.9,10390,67,10055778,-0.00155,70,50,68.8,26.8,70.2,68.7,76.6,86.6,70,60,5.3,25.6
67,Ireland,IE,2007,4.1,10.7,9.2,11,41280,24.9,4375842,0.033205,90,74,71.7,65.9,92.1,80.6,85.3,86.6,90,90,7.5,31.3
68,Italy,IT,2007,12.3,20.2,10.7,10.4,28730,103.3,58438309,0.005049,50,50,52.8,31.5,77,74.4,80.5,81.6,70,60,5.2,32
69,Latvia,LV,2007,7.9,13.4,3.9,11.1,10250,9,2200325,-0.008159,50,42,83.9,61.3,74.5,66.9,74.2,86.6,70,70,4.8,35.4
70,Lithuania,LT,2007,9.1,14.8,4.1,11.2,9770,16.8,3231297,-0.011877,50,48,86.5,70.8,84.3,57.3,81.1,86.6,70,80,4.8,33.8
71,Luxembourg,LU,2007,10,14.6,11.4,10.3,84420,6.7,479992,0.015433,90,85,65.3,44,76.9,47.8,80.2,86.6,90,80,8.4,27.4
72,Malta,MT,2007,5.6,10.1,9.7,13.1,15470,60.7,406725,0.003483,90,66,61.1,27.7,70,60,80,86.6,50,70,5.8,26.3
